datetime,granularity,style,variation,model,n_samples,precision,recall,micro_f1,macro_f1,result_file,f1_building,f1_location,f1_organization,f1_other,f1_art,f1_person,f1_building-hotel,f1_building-other,f1_location-GPE,f1_organization-showorganization,f1_product-airplane,f1_person-artist/author,f1_art-music,f1_person-other,f1_event,f1_product,f1_art-other,f1_event-sportsevent,f1_location-park,f1_organization-other,f1_product-other,f1_product-ship,f1_product-weapon,f1_person-soldier,f1_other-astronomything,f1_organization-sportsleague,f1_organization-sportsteam,f1_art-film,f1_building-restaurant,f1_person-actor,f1_building-sportsfacility,f1_organization-company,f1_organization-government/governmentagency
2026-02-10 16:07:48,fine,nl,backtrans_sp,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_nl_backtrans_sp_qwen2.5:7b_20260210_160746.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:50,fine,nl,backtrans_tu,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_nl_backtrans_tu_qwen2.5:7b_20260210_160748.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:21:36,coarse,pl,v0_original,qwen2.5:7b,5,0.4444,0.4444,0.4444,0.3278,coarse_pl_v0_original_qwen2.5:7b_20260210_162134.json,0.8,0.0,0.5,0.0,,0.0,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,
2026-02-10 16:21:39,coarse,pl,lexical_substitution,qwen2.5:7b,5,0.4444,0.4444,0.4444,0.3278,coarse_pl_lexical_substitution_qwen2.5:7b_20260210_162136.json,0.8,0.0,0.5,,0.0,0.0,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,
2026-02-10 16:21:41,coarse,pl,reodering,qwen2.5:7b,5,0.4444,0.4444,0.4444,0.3278,coarse_pl_reodering_qwen2.5:7b_20260210_162139.json,0.8,0.0,0.5,,0.0,0.0,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,
2026-02-10 16:21:43,coarse,pl,sentence_reordering,qwen2.5:7b,5,0.375,0.3333,0.3529,0.2778,coarse_pl_sentence_reordering_qwen2.5:7b_20260210_162141.json,0.5,0.0,0.5,0.0,,0.0,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,
2026-02-10 16:21:45,coarse,pl,backtrans_ch,qwen2.5:7b,5,0.625,0.5556,0.5882,0.4333,coarse_pl_backtrans_ch_qwen2.5:7b_20260210_162143.json,0.8,0.0,0.8,,,0.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
2026-02-10 16:21:48,coarse,pl,backtrans_sp,qwen2.5:7b,5,0.5556,0.5556,0.5556,0.3778,coarse_pl_backtrans_sp_qwen2.5:7b_20260210_162145.json,0.8,0.0,0.8,,,0.0,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,
2026-02-10 16:21:50,coarse,pl,backtrans_tu,qwen2.5:7b,5,0.625,0.5556,0.5882,0.4333,coarse_pl_backtrans_tu_qwen2.5:7b_20260210_162148.json,0.8,0.0,0.8,,,0.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
2026-02-10 16:21:52,coarse,nl,v0_original,qwen2.5:7b,5,0.3125,0.5556,0.4,0.3333,coarse_nl_v0_original_qwen2.5:7b_20260210_162150.json,0.5,1.0,0.5,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2026-02-10 16:21:55,coarse,nl,lexical_substitution,qwen2.5:7b,5,0.2,0.2222,0.2105,0.1667,coarse_nl_lexical_substitution_qwen2.5:7b_20260210_162152.json,0.0,0.6667,0.3333,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2026-02-10 16:21:57,coarse,nl,reodering,qwen2.5:7b,5,0.25,0.2222,0.2353,0.1389,coarse_nl_reodering_qwen2.5:7b_20260210_162155.json,0.0,0.5,0.3333,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2026-02-10 16:22:00,coarse,nl,sentence_reordering,qwen2.5:7b,5,0.1818,0.2222,0.2,0.1389,coarse_nl_sentence_reordering_qwen2.5:7b_20260210_162157.json,0.0,0.5,0.3333,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2026-02-10 16:22:02,coarse,nl,backtrans_ch,qwen2.5:7b,5,0.5,0.3333,0.4,0.3611,coarse_nl_backtrans_ch_qwen2.5:7b_20260210_162200.json,0.0,0.6667,0.5,0.0,,0.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
2026-02-10 16:22:04,coarse,nl,backtrans_sp,qwen2.5:7b,5,0.2,0.2222,0.2105,0.1667,coarse_nl_backtrans_sp_qwen2.5:7b_20260210_162202.json,0.0,0.6667,0.3333,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2026-02-10 16:22:06,coarse,nl,backtrans_tu,qwen2.5:7b,5,0.1111,0.1111,0.1111,0.0833,coarse_nl_backtrans_tu_qwen2.5:7b_20260210_162204.json,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2026-02-10 16:22:13,fine,pl,v0_original,qwen2.5:7b,5,0.2,0.1111,0.1429,0.1111,fine_pl_v0_original_qwen2.5:7b_20260210_162206.json,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-02-10 16:22:19,fine,pl,lexical_substitution,qwen2.5:7b,5,0.3333,0.1111,0.1667,0.0741,fine_pl_lexical_substitution_qwen2.5:7b_20260210_162213.json,,,,,,,0.6667,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-02-10 16:22:25,fine,pl,reodering,qwen2.5:7b,5,0.5,0.2222,0.3077,0.1852,fine_pl_reodering_qwen2.5:7b_20260210_162219.json,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.6667,0.0,0.0,,,,,,,,,,,,
2026-02-10 16:22:31,fine,pl,sentence_reordering,qwen2.5:7b,5,0.1429,0.1111,0.125,0.1111,fine_pl_sentence_reordering_qwen2.5:7b_20260210_162225.json,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2026-02-10 16:22:38,fine,pl,backtrans_ch,qwen2.5:7b,5,0.2,0.1111,0.1429,0.1111,fine_pl_backtrans_ch_qwen2.5:7b_20260210_162231.json,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,
